N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1108.0,키움 미국달러선물 ETN,12160.0,보합0,0.00%,0.0,,,,
1109.0,KBSTAR 중기우량회사채,105210.0,상승  10,+0.01%,0.0,,,,
1110.0,TIGER 미국S&P500레버리지(합성 H),37460.0,하락  115,-0.31%,0.0,,,,
1111.0,TIGER 경기방어,9100.0,상승  50,+0.55%,0.0,,,,
1112.0,부국철강,3020.0,하락  10,-0.33%,500.0,1914.0,24.0,21.42,2.81
1113.0,한세엠케이,2005.0,상승  5,+0.25%,500.0,3168.0,-42.0,-10.78,-10.17
1114.0,SJM홀딩스,4025.0,상승  100,+2.55%,500.0,2028.0,147.0,6.94,6.28
1115.0,DSR제강,4170.0,상승  10,+0.24%,500.0,2130.0,235.0,4.78,6.84
1116.0,TIGER 인도니프티50레버리지(합성),39355.0,상승  235,+0.60%,0.0,,,,
1117.0,IHQ,10760.0,보합0,0.00%,500.0,363.0,-174.0,1.71,43.12
1118.0,미래에셋 레버리지 코스피200 선물 ETN,29805.0,하락  45,-0.15%,0.0,,,,
1119.0,성보화학,2975.0,하락  5,-0.17%,500.0,626.0,2.0,82.64,0.95
1120.0,이건산업,5420.0,보합0,0.00%,5000.0,3116.0,91.0,-8.14,-2.85
1121.0,핸즈코퍼레이션,2710.0,보합0,0.00%,500.0,7495.0,-215.0,-1.08,-13.54
1122.0,TIGER 미국테크TOP10채권혼합,11395.0,상승  15,+0.13%,0.0,,,,
1123.0,SK케미칼우,27850.0,"상승  1,450",+5.49%,5000.0,,,26.83,
1124.0,KODEX 미국달러선물,13235.0,상승  55,+0.42%,0.0,,,,
1125.0,대유에이텍,1258.0,상승  35,+2.86%,500.0,5669.0,361.0,-0.61,-141.44
1126.0,한국종합기술,5370.0,하락  10,-0.19%,500.0,3769.0,40.0,4.51,8.74
1127.0,문배철강,2820.0,하락  10,-0.35%,500.0,1636.0,-34.0,3.76,10.55
1128.0,TIGER 인도빌리언컨슈머,10115.0,상승  15,+0.15%,0.0,,,,
1129.0,삼성 레버리지 은 선물 ETN(H),19100.0,하락  460,-2.35%,0.0,,,,
1130.0,KODEX 국채선물10년,65290.0,하락  80,-0.12%,0.0,,,,
